"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"2338",11208,28139,1,"30.06.2006",28139,"30.06.2006","2006Q2","2006Q3",2338
"2340",11224,28180,1,"30.09.2005",28180,"30.09.2005","2005Q3","2005Q3",2340
"2341",11243,28194,1,"30.06.2005",28194,"30.06.2005","2005Q2","2005Q2",2341
"2343",11251,28194,1,"30.06.2007",28194,"30.06.2007","2007Q2","2007Q2",2343
"2345",11269,28195,1,"30.11.2006",28195,"30.11.2006","2006Q4","2007Q1",2345
"2352",11284,28206,1,"31.12.2005",28206,"31.12.2005","2005Q4","2005Q4",2352
"2353",11297,28214,1,"31.03.2004",28214,"31.03.2004","2004Q1","2004Q1",2353
"2368",11343,28285,1,"31.03.2006",28285,"31.03.2006","2006Q1","2006Q3",2368
"2369",11358,28316,1,"30.09.2006",28316,"30.09.2006","2006Q3","2006Q3",2369
"2370",11379,28347,1,"31.12.2006",28347,"31.12.2006","2006Q4","2006Q4",2370
"2373",11391,28374,1,"31.12.2004",28374,"31.12.2004","2004Q4","2004Q4",2373
"2375",11418,28414,1,"31.12.2006",28414,"31.12.2006","2006Q4","2006Q4",2375
"2377",11429,28435,1,"30.09.2004",28435,"30.09.2004","2004Q3","2004Q3",2377
"2385",11454,28462,1,"30.09.2005",28462,"30.09.2005","2005Q3","2005Q3",2385
"2396",11494,28502,1,"31.05.2006",28502,"31.05.2006","2006Q2","2005Q4",2396
"2397",11512,28504,1,"31.03.2006",28504,"31.03.2006","2006Q1","2006Q1",2397
"2398",11529,28564,1,"30.09.2005",28564,"30.09.2005","2005Q3","2005Q3",2398
"2405",11563,28600,1,"30.09.2004",28600,"30.09.2004","2004Q3","2004Q3",2405
"2412",11582,28616,1,"30.06.2007",28616,"30.06.2007","2007Q2","2007Q4",2412
"2413",11597,28641,1,"30.09.2006",28641,"30.09.2006","2006Q3","2006Q4",2413
"2419",11614,28668,1,"31.01.2006",28668,"31.01.2006","2005Q4","2005Q4",2419
"2424",11644,28691,1,"31.12.2006",28691,"31.12.2006","2006Q4","2006Q4",2424
"2426",11658,28699,1,"30.06.2005",28699,"30.06.2005","2005Q2","2005Q2",2426
"2428",11675,28737,1,"30.09.2004",28737,"30.09.2004","2004Q3","2004Q4",2428
"2443",11742,28787,1,"30.09.2004",28787,"30.09.2004","2004Q3","2004Q3",2443
"2445",11760,28877,1,"31.03.2004",28877,"31.03.2004","2004Q1","2004Q2",2445
"2449",11811,28917,1,"31.03.2007",28917,"31.03.2007","2007Q1","2007Q1",2449
"2450",11821,28933,1,"31.12.2004",28933,"31.12.2004","2004Q4","2004Q4",2450
"2457",11846,28940,1,"31.12.2006",28940,"31.12.2006","2006Q4","2006Q4",2457
"2460",11857,28942,1,"30.09.2004",28942,"30.09.2004","2004Q3","2004Q2",2460
"2463",11867,28947,1,"31.03.2005",28947,"31.03.2005","2005Q1","2005Q1",2463
"2474",11921,29021,1,"31.07.2004",29021,"31.07.2004","2004Q2","2004Q2",2474
"2483",11939,29040,1,"30.06.2005",29040,"30.06.2005","2005Q2","2005Q2",2483
"2499",11991,29105,1,"30.09.2004",29105,"30.09.2004","2004Q3","2004Q3",2499
