gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
010266,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000718449,I
010266,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000718449,I
010266,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000718449,I
010277,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000350563,I
010277,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000350563,I
010277,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000350563,I
010277,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000350563,I
010286,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000277928,I
010286,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000277928,I
010286,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000277928,I
010286,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000277928,I
010292,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000741612,I
010292,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000741612,I
010292,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000741612,I
010292,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000741612,I
010293,31/07/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000723615,A
010293,31/10/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000723615,A
010293,31/01/2005,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000723615,A
010293,30/04/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000723615,A
010296,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000312842,I
010296,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000312842,I
010296,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000312842,I
010296,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000312842,I
010297,30/06/2004,2004,4,INDL,C,D,STD,USD,2004Q2,2004Q4,0000103096,I
010297,30/09/2004,2005,1,INDL,C,D,STD,USD,2004Q3,2005Q1,0000103096,I
010297,31/12/2004,2005,2,INDL,C,D,STD,USD,2004Q4,2005Q2,0000103096,I
010297,31/03/2005,2005,3,INDL,C,D,STD,USD,2005Q1,2005Q3,0000103096,I
010305,31/08/2004,2004,1,INDL,C,D,STD,USD,2004Q3,2004Q1,0000098338,A
010305,30/11/2004,2004,2,INDL,C,D,STD,USD,2004Q4,2004Q2,0000098338,A
010305,28/02/2005,2004,3,INDL,C,D,STD,USD,2005Q1,2004Q3,0000098338,A
010305,31/05/2005,2004,4,INDL,C,D,STD,USD,2005Q2,2004Q4,0000098338,A
010310,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000352079,I
010310,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000352079,I
010310,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000352079,I
010310,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000352079,I
010321,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000860451,I
010321,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000860451,I
010321,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000860451,I
010321,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000860451,I
010331,31/07/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096287,I
010331,31/10/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000096287,I
010331,31/01/2005,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000096287,I
010331,30/04/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000096287,I
010332,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000096289,I
